id,age,educ,polviews,spanking,gender
2523,68,11,3, ,0
2548,40,10,4,2,1
1948,26,11,2, ,1
1552,83,10,6,2,0
2388,69,11,4,1,0
2662,70,8,4, ,1
622,56,9,2, ,1
1546,70,11,6,3,0
329,86,10,4,2,0
1922,72,11, , ,0
2696,73,8,2,1,1
1663,59,9,4,3,1
2899,31,11,5,1,1
1924,89,10,4,2,0
2246,46,13,4,2,0
296,63,6,3, ,0
1539,63,6,4,1,0
1804,77,8,6, ,1
42,79,8, ,1,1
2521,64,12,6, ,0
1504,36,11,4, ,1
1965,21,15,4, ,0
165,79,11,5,2,0
406,66,9,7,2,1
750,52,10, , ,1
1944,52,13,4,1,0
346,68,9,4,1,1
635,83,8,4,3,1
1819,40,11, ,1,1
2255,84,8,4,4,1
2329,56,10,4,2,1
2416,85,8,6,2,1
2434,27,15,3,2,0
524,57,10,4,1,1
2524,87,8,4,1,1
379,72,12,6,1,0
160,45,11,4,1,1
2520,60,10,4,2,1
